               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.029495,            0.013314,           0.0023451,             0.93181,             0.86875,             0.91477,             0.70597,            0.017065,           0.0040628,          0.00021124,            0.008383,            0.008383,            0.008383
                  51,            0.028543,            0.012922,           0.0023262,             0.90204,             0.89371,             0.91674,             0.71512,            0.017128,           0.0040937,          0.00021443,             0.00835,             0.00835,             0.00835
                  52,            0.028738,            0.013048,           0.0023227,             0.89367,             0.90209,             0.90967,             0.71095,            0.016624,            0.004036,          0.00017224,            0.008317,            0.008317,            0.008317
                  53,            0.028852,            0.012948,           0.0025731,             0.92994,             0.88527,             0.91623,             0.72492,            0.016807,           0.0041164,          0.00020193,            0.008284,            0.008284,            0.008284
                  54,            0.028713,            0.012864,           0.0018635,             0.93356,             0.88404,             0.91769,             0.72579,            0.017074,           0.0040087,          0.00023392,            0.008251,            0.008251,            0.008251
                  55,            0.028643,             0.01264,           0.0022665,             0.91629,             0.87522,             0.90952,             0.71978,            0.016526,           0.0039766,          0.00023811,            0.008218,            0.008218,            0.008218
                  56,            0.027371,            0.013035,           0.0023338,             0.90602,             0.88528,             0.90605,             0.71633,            0.016401,           0.0042084,          0.00022058,            0.008185,            0.008185,            0.008185
                  57,            0.027667,            0.012607,           0.0026437,             0.89502,             0.89146,             0.91213,             0.72362,            0.016764,           0.0040644,           0.0002363,            0.008152,            0.008152,            0.008152
                  58,            0.027763,            0.012706,           0.0022302,             0.90123,             0.89131,              0.9171,             0.72252,            0.016441,             0.00392,          0.00018054,            0.008119,            0.008119,            0.008119
                  59,            0.027831,            0.012852,           0.0020279,             0.92225,             0.88794,             0.92056,              0.7277,            0.015987,             0.00393,          0.00016177,            0.008086,            0.008086,            0.008086
                  60,            0.027966,            0.012805,            0.002144,             0.91558,             0.90001,             0.91944,             0.73321,            0.015789,           0.0039295,          0.00019601,            0.008053,            0.008053,            0.008053
                  61,            0.028204,            0.012601,           0.0018918,             0.91429,             0.89707,             0.92554,             0.74106,             0.01599,           0.0038419,          0.00019079,             0.00802,             0.00802,             0.00802
                  62,            0.026978,            0.012701,           0.0024992,             0.92983,             0.88446,             0.91777,             0.72926,            0.016194,           0.0039552,          0.00021342,            0.007987,            0.007987,            0.007987
                  63,            0.027757,            0.012432,            0.002072,             0.91041,             0.90011,             0.92248,             0.73584,            0.015935,            0.003951,          0.00020641,            0.007954,            0.007954,            0.007954
                  64,             0.02782,            0.012617,           0.0022321,             0.90701,             0.89404,             0.91898,             0.73758,            0.015711,           0.0039815,          0.00018061,            0.007921,            0.007921,            0.007921
                  65,            0.027924,            0.012568,           0.0017858,             0.90526,             0.89376,             0.91839,             0.74218,            0.015655,           0.0039677,          0.00015756,            0.007888,            0.007888,            0.007888
                  66,            0.027054,            0.012609,            0.002327,             0.90735,             0.89817,             0.91821,             0.73552,            0.015651,           0.0039592,          0.00013881,            0.007855,            0.007855,            0.007855
                  67,            0.027733,             0.01262,           0.0021267,              0.9227,             0.88972,             0.92019,             0.73794,            0.015764,           0.0040214,          0.00015528,            0.007822,            0.007822,            0.007822
                  68,            0.026799,            0.012599,           0.0022998,             0.91341,             0.89149,             0.92061,             0.74364,            0.015695,           0.0040068,          0.00014662,            0.007789,            0.007789,            0.007789
                  69,            0.027594,            0.012288,           0.0021555,             0.91828,             0.89397,             0.91845,             0.74459,            0.015749,           0.0039377,          0.00014961,            0.007756,            0.007756,            0.007756
                  70,            0.027945,            0.012766,           0.0018282,             0.93655,             0.88826,             0.91916,              0.7453,             0.01595,           0.0039028,           0.0001372,            0.007723,            0.007723,            0.007723
                  71,            0.026827,            0.012615,           0.0020945,             0.95632,             0.88068,              0.9194,             0.73575,            0.015748,           0.0038184,          0.00013566,             0.00769,             0.00769,             0.00769
                  72,            0.026462,             0.01246,           0.0023656,             0.93979,             0.88824,             0.92075,              0.7459,            0.015404,           0.0038486,          0.00014443,            0.007657,            0.007657,            0.007657
                  73,            0.026341,            0.012081,            0.001794,             0.92419,              0.8944,             0.92486,             0.75287,            0.015186,            0.003868,          0.00015571,            0.007624,            0.007624,            0.007624
                  74,            0.027483,             0.01237,           0.0019929,              0.9415,             0.88388,             0.92541,             0.75521,            0.015176,           0.0038572,          0.00014207,            0.007591,            0.007591,            0.007591
                  75,            0.026712,            0.012436,           0.0020994,             0.91841,             0.90081,             0.92421,             0.75428,            0.015105,           0.0037897,           0.0001368,            0.007558,            0.007558,            0.007558
                  76,            0.026801,            0.012302,            0.002001,             0.93483,             0.89242,             0.92486,             0.75912,            0.014981,           0.0037614,          0.00013348,            0.007525,            0.007525,            0.007525
                  77,            0.026278,            0.012133,           0.0018567,             0.94352,             0.88923,             0.92738,             0.76108,            0.015108,           0.0037485,          0.00014034,            0.007492,            0.007492,            0.007492
                  78,            0.026569,            0.012208,           0.0015592,             0.93472,             0.89715,             0.92666,             0.76167,            0.015035,            0.003749,          0.00014598,            0.007459,            0.007459,            0.007459
                  79,            0.026866,            0.012146,           0.0015712,             0.94054,             0.89878,             0.93002,             0.76658,             0.01486,           0.0037211,          0.00014222,            0.007426,            0.007426,            0.007426
                  80,            0.026793,            0.012074,           0.0025325,             0.95959,             0.87974,             0.93105,             0.76699,            0.014924,           0.0037524,          0.00013757,            0.007393,            0.007393,            0.007393
                  81,            0.027305,            0.012155,           0.0021532,             0.94488,             0.89011,              0.9296,             0.76579,            0.015038,           0.0037106,          0.00012514,             0.00736,             0.00736,             0.00736
                  82,             0.02624,            0.012113,           0.0019551,             0.94604,              0.8953,             0.92832,             0.76252,            0.015073,           0.0036807,          0.00012639,            0.007327,            0.007327,            0.007327
                  83,            0.026293,             0.01191,           0.0016655,             0.93814,             0.90887,             0.93321,             0.76597,            0.014938,           0.0036464,          0.00013087,            0.007294,            0.007294,            0.007294
                  84,            0.026284,            0.011889,            0.001948,             0.93419,             0.90097,             0.93036,             0.76636,            0.014924,           0.0036439,          0.00012619,            0.007261,            0.007261,            0.007261
                  85,            0.025894,            0.011768,           0.0020769,              0.9509,             0.89468,             0.92948,             0.76653,             0.01488,           0.0036405,           0.0001242,            0.007228,            0.007228,            0.007228
                  86,            0.025393,            0.011891,           0.0017561,             0.94261,             0.90218,             0.93252,             0.76985,            0.014757,            0.003651,          0.00012177,            0.007195,            0.007195,            0.007195
                  87,             0.02606,            0.011787,           0.0015456,             0.94894,             0.89873,             0.93316,             0.76973,            0.014615,           0.0036428,          0.00012142,            0.007162,            0.007162,            0.007162
                  88,            0.026249,            0.011781,           0.0017273,             0.95266,             0.88868,             0.92983,             0.77031,            0.014622,           0.0036464,          0.00012196,            0.007129,            0.007129,            0.007129
                  89,            0.026687,            0.012113,           0.0020784,              0.9294,             0.90286,             0.93208,             0.77073,            0.014585,            0.003645,           0.0001235,            0.007096,            0.007096,            0.007096
                  90,            0.025827,            0.012051,           0.0018158,             0.92391,              0.9061,             0.93352,             0.77312,            0.014551,           0.0036594,          0.00012305,            0.007063,            0.007063,            0.007063
                  91,            0.026388,            0.011962,           0.0017197,             0.93272,             0.90632,              0.9343,             0.77464,            0.014534,           0.0036602,          0.00011964,             0.00703,             0.00703,             0.00703
                  92,            0.026392,            0.011813,           0.0021885,             0.92831,             0.90825,             0.93519,             0.77688,            0.014483,           0.0036314,          0.00012081,            0.006997,            0.006997,            0.006997
                  93,             0.02618,             0.01177,           0.0019033,             0.93188,             0.91256,             0.93575,             0.77906,            0.014307,           0.0036381,          0.00012163,            0.006964,            0.006964,            0.006964
                  94,            0.025929,            0.012033,           0.0024059,              0.9292,             0.91037,             0.93761,             0.78149,            0.014268,           0.0036403,          0.00012031,            0.006931,            0.006931,            0.006931
                  95,            0.025797,            0.011799,           0.0016147,             0.93583,             0.90788,             0.93779,             0.78265,            0.014248,           0.0036422,          0.00011505,            0.006898,            0.006898,            0.006898
